覚える技1,覚える技2,覚える技3,覚える技4,覚える技5,覚える技6,覚える技7,覚える技8,覚える技9,覚える技10,覚える技11,覚える技12,覚える技13,覚える技14,覚える技15,覚える技16,覚える技17,覚える技18,覚える技19,覚える技20,覚える技21,覚える技22,覚える技23,覚える技24,覚える技25,覚える技26,覚える技27,覚える技28,覚える技29,覚える技30,覚える技31,覚える技32,覚える技33,覚える技34,覚える技35,覚える技36,覚える技37,覚える技38,覚える技39,覚える技40,覚える技41,覚える技42,覚える技43,覚える技44,覚える技45,覚える技46,覚える技47,覚える技48,覚える技49,覚える技50,覚える技51,覚える技52,覚える技53,覚える技54,覚える技55,覚える技56,覚える技57,覚える技58,覚える技59,覚える技60,覚える技61,覚える技62,覚える技63,覚える技64,覚える技65,覚える技66,覚える技67,覚える技68,覚える技69,覚える技70,覚える技71,覚える技72,覚える技73,覚える技74,覚える技75,覚える技76,覚える技77,覚える技78,覚える技79,覚える技80,覚える技81,覚える技82,覚える技83,覚える技84,覚える技85,覚える技86,覚える技87,覚える技88,覚える技89,覚える技90,覚える技91,覚える技92,覚える技93,覚える技94,覚える技95,覚える技96,覚える技97,覚える技98,覚える技99,覚える技100,覚える技101,覚える技102,覚える技103,覚える技104,覚える技105,覚える技106,覚える技107,覚える技108,覚える技109,覚える技110,覚える技111,覚える技112,覚える技113,覚える技114,覚える技115,覚える技116,覚える技117,覚える技118,覚える技119,覚える技120,覚える技121,覚える技122,覚える技123,覚える技124,覚える技125,覚える技126,覚える技127,覚える技128,覚える技129,覚える技130,覚える技131,覚える技132,覚える技133,覚える技134,覚える技135,覚える技136,覚える技137,覚える技138,覚える技139,覚える技140,覚える技141,覚える技142,覚える技143,覚える技144,覚える技145,覚える技146,覚える技147,覚える技148,覚える技149,覚える技150,覚える技151,覚える技152,覚える技153,覚える技154,覚える技155,覚える技156,覚える技157,覚える技158,覚える技159,覚える技160,覚える技161,覚える技162,覚える技163,覚える技164,覚える技165,覚える技166,覚える技167,覚える技168,覚える技169
"""たいあたり""","""なきごえ""","""つるのムチ""","""せいちょう""","""やどりぎのタネ""","""はっぱカッター""","""どくのこな""","""ねむりごな""","""タネばくだん""","""とっしん""","""あまいかおり""","""こうごうせい""","""なやみのタネ""","""すてみタックル""","""ソーラービーム""","""マジカルリーフ""","""ソーラービーム""","""ひかりのかべ""","""しんぴのまもり""","""ねむる""","""いびき""","""まもる""","""ギガドレイン""","""あまえる""","""メロメロ""","""にほんばれ""","""からげんき""","""てだすけ""","""ウェザーボール""","""タネマシンガン""","""ベノムショック""","""りんしょう""","""グラスフィールド""","""みねうち""","""つるぎのまい""","""のしかかり""","""ドわすれ""","""みがわり""","""ヘドロばくだん""","""こらえる""","""ねごと""","""タネばくだん""","""エナジーボール""","""リーフストーム""","""パワーウィップ""","""くさむすび""","""ふるいたてる""","""はなびらのまい""","""どくどく""","""ロケットずつき""","""のろい""","""しぜんのちから""","""ねをはる""","""グラススライダー""","""くさのちかい""","""いあいぎり""","""ずつき""","""かいりき""","""メガドレイン""","""いかり""","""ものまね""","""かげぶんしん""","""まるくなる""","""リフレクター""","""がまん""","""フラッシュ""","""どろかけ""","""げきりん""","""いばる""","""れんぞくぎり""","""おんがえし""","""やつあたり""","""めざめるパワー""","""いわくだき""","""ひみつのちから""","""しぜんのめぐみ""","""ゆうわく""","""エコーボイス""","""ないしょばなし""","""かまいたち""","""ヘドロこうげき""","""くさぶえ""","""しめつける""","""いとをはく""","""はたきおとす""","""みねうち""","""とおせんぼう""","""ハードプラント""","""ウェザーボール""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""たいあたり""","""なきごえ""","""つるのムチ""","""せいちょう""","""やどりぎのタネ""","""はっぱカッター""","""どくのこな""","""ねむりごな""","""タネばくだん""","""とっしん""","""あまいかおり""","""こうごうせい""","""なやみのタネ""","""すてみタックル""","""ソーラービーム""","""マジカルリーフ""","""ソーラービーム""","""ひかりのかべ""","""しんぴのまもり""","""ねむる""","""いびき""","""まもる""","""ギガドレイン""","""あまえる""","""メロメロ""","""にほんばれ""","""からげんき""","""てだすけ""","""ウェザーボール""","""タネマシンガン""","""ベノムショック""","""りんしょう""","""グラスフィールド""","""みねうち""","""つるぎのまい""","""のしかかり""","""ドわすれ""","""みがわり""","""ヘドロばくだん""","""こらえる""","""ねごと""","""タネばくだん""","""エナジーボール""","""リーフストーム""","""パワーウィップ""","""くさむすび""","""ふるいたてる""","""はなびらのまい""","""どくどく""","""ロケットずつき""","""のろい""","""しぜんのちから""","""ねをはる""","""グラススライダー""","""くさのちかい""","""いあいぎり""","""ずつき""","""かいりき""","""メガドレイン""","""いかり""","""ものまね""","""かげぶんしん""","""まるくなる""","""リフレクター""","""がまん""","""フラッシュ""","""どろかけ""","""げきりん""","""いばる""","""れんぞくぎり""","""おんがえし""","""やつあたり""","""めざめるパワー""","""いわくだき""","""ひみつのちから""","""しぜんのめぐみ""","""ゆうわく""","""エコーボイス""","""ないしょばなし""","""かまいたち""","""ヘドロこうげき""","""くさぶえ""","""しめつける""","""いとをはく""","""はたきおとす""","""みねうち""","""とおせんぼう""","""ハードプラント""","""ウェザーボール""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""はなふぶき""","""たいあたり""","""なきごえ""","""つるのムチ""","""はなびらのまい""","""はなふぶき""","""せいちょう""","""やどりぎのタネ""","""はっぱカッター""","""どくのこな""","""ねむりごな""","""タネばくだん""","""とっしん""","""あまいかおり""","""こうごうせい""","""なやみのタネ""","""すてみタックル""","""ソーラービーム""","""はかいこうせん""","""ギガインパクト""","""マジカルリーフ""","""ソーラービーム""","""ひかりのかべ""","""しんぴのまもり""","""ねむる""","""いびき""","""まもる""","""ギガドレイン""","""あまえる""","""メロメロ""","""にほんばれ""","""からげんき""","""てだすけ""","""ウェザーボール""","""タネマシンガン""","""ベノムショック""","""りんしょう""","""じならし""","""グラスフィールド""","""みねうち""","""じだんだ""","""つるぎのまい""","""のしかかり""","""じしん""","""ドわすれ""","""みがわり""","""ヘドロばくだん""","""げきりん""","""こらえる""","""ねごと""","""タネばくだん""","""エナジーボール""","""だいちのちから""","""リーフストーム""","""パワーウィップ""","""くさむすび""","""ふるいたてる""","""はなびらのまい""","""どくどく""","""ロケットずつき""","""のろい""","""しぜんのちから""","""ねをはる""","""グラススライダー""","""だいちのはどう""","""ハードプラント""","""くさのちかい""","""キョダイベンタツ""","""いあいぎり""","""ずつき""","""かいりき""","""メガドレイン""","""いかり""","""ものまね""","""かげぶんしん""","""まるくなる""","""リフレクター""","""がまん""","""フラッシュ""","""どろかけ""","""いばる""","""れんぞくぎり""","""おんがえし""","""やつあたり""","""めざめるパワー""","""いわくだき""","""ひみつのちから""","""しぜんのめぐみ""","""ゆうわく""","""エコーボイス""","""ないしょばなし""","""ほえる""","""ロッククライム""","""かまいたち""","""ヘドロこうげき""","""くさぶえ""","""しめつける""","""いとをはく""","""はたきおとす""","""とおせんぼう""","""みねうち""","""とおせんぼう""","""ハードプラント""","""ウェザーボール""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""ひっかく""","""なきごえ""","""ひのこ""","""えんまく""","""りゅうのいぶき""","""ほのおのキバ""","""きりさく""","""かえんほうしゃ""","""こわいかお""","""ほのおのうず""","""れんごく""","""フレアドライブ""","""とっしん""","""こわいかお""","""まもる""","""ほのおのキバ""","""ほのおのうず""","""からげんき""","""メタルクロー""","""スピードスター""","""がんせきふうじ""","""ニトロチャージ""","""なげつける""","""ドラゴンテール""","""こらえる""","""にほんばれ""","""あなをほる""","""みねうち""","""かわらわり""","""シャドークロー""","""のしかかり""","""ほのおのパンチ""","""かみなりパンチ""","""ねごと""","""ドラゴンクロー""","""ねむる""","""いわなだれ""","""つるぎのまい""","""りゅうのまい""","""みがわり""","""おにび""","""かみくだく""","""りゅうのはどう""","""ねっぷう""","""かえんほうしゃ""","""てだすけ""","""だいもんじ""","""ほのおのちかい""","""げきりん""","""オーバーヒート""","""きあいだま""","""フレアドライブ""","""テラバースト""","""かみつく""","""カウンター""","""はらだいこ""","""アイアンテール""","""メタルクロー""","""げんしのちから""","""ドラゴンダイブ""","""ドラゴンテール""","""にらみつける""","""りゅうのいかり""","""いかり""","""みだれひっかき""","""はじけるほのお""","""メガトンパンチ""","""いあいぎり""","""メガトンキック""","""ずつき""","""すてみタックル""","""じごくぐるま""","""ちきゅうなげ""","""かいりき""","""どくどく""","""ものまね""","""かげぶんしん""","""まるくなる""","""リフレクター""","""がまん""","""ロケットずつき""","""いびき""","""のろい""","""どろかけ""","""いばる""","""れんぞくぎり""","""メロメロ""","""おんがえし""","""やつあたり""","""ばくれつパンチ""","""めざめるパワー""","""いわくだき""","""ふくろだたき""","""きあいパンチ""","""ひみつのちから""","""ウェザーボール""","""つばめがえし""","""しぜんのめぐみ""","""ゆうわく""","""つめとぎ""","""りんしょう""","""エコーボイス""","""やきつくす""","""アクロバット""","""ふるいたてる""","""グロウパンチ""","""ないしょばなし""","""つばさでうつ""","""エアカッター""","""みねうち""","""とおせんぼう""","""ブラストバーン""","""アクロバット""","""でんこうせっか""","""とおぼえ""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""ひっかく""","""なきごえ""","""ひのこ""","""えんまく""","""りゅうのいぶき""","""ほのおのキバ""","""きりさく""","""かえんほうしゃ""","""こわいかお""","""れんごく""","""フレアドライブ""","""とっしん""","""こわいかお""","""まもる""","""ほのおのキバ""","""ほのおのうず""","""からげんき""","""スピードスター""","""がんせきふうじ""","""ニトロチャージ""","""なげつける""","""ドラゴンテール""","""こらえる""","""にほんばれ""","""あなをほる""","""みねうち""","""かわらわり""","""シャドークロー""","""のしかかり""","""ほのおのパンチ""","""かみなりパンチ""","""ねごと""","""ドラゴンクロー""","""ねむる""","""いわなだれ""","""つるぎのまい""","""りゅうのまい""","""みがわり""","""おにび""","""かみくだく""","""りゅうのはどう""","""ねっぷう""","""かえんほうしゃ""","""てだすけ""","""だいもんじ""","""ほのおのちかい""","""げきりん""","""オーバーヒート""","""フレアドライブ""","""テラバースト""","""かみつく""","""カウンター""","""はらだいこ""","""アイアンテール""","""メタルクロー""","""げんしのちから""","""ドラゴンダイブ""","""ドラゴンテール""","""にらみつける""","""りゅうのいかり""","""いかり""","""みだれひっかき""","""はじけるほのお""","""メガトンパンチ""","""いあいぎり""","""メガトンキック""","""ずつき""","""すてみタックル""","""じごくぐるま""","""ちきゅうなげ""","""かいりき""","""どくどく""","""ものまね""","""かげぶんしん""","""まるくなる""","""リフレクター""","""がまん""","""ロケットずつき""","""いびき""","""のろい""","""どろかけ""","""いばる""","""れんぞくぎり""","""メロメロ""","""おんがえし""","""やつあたり""","""ばくれつパンチ""","""めざめるパワー""","""いわくだき""","""ふくろだたき""","""きあいパンチ""","""ひみつのちから""","""ウェザーボール""","""つばめがえし""","""しぜんのめぐみ""","""ゆうわく""","""つめとぎ""","""りんしょう""","""エコーボイス""","""やきつくす""","""アクロバット""","""ふるいたてる""","""グロウパンチ""","""ないしょばなし""","""つばさでうつ""","""エアカッター""","""みねうち""","""とおせんぼう""","""ブラストバーン""","""アクロバット""","""でんこうせっか""","""とおぼえ""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""エアスラッシュ""","""ねっぷう""","""ドラゴンクロー""","""ひっかく""","""なきごえ""","""ひのこ""","""えんまく""","""りゅうのいぶき""","""ほのおのキバ""","""きりさく""","""かえんほうしゃ""","""こわいかお""","""ほのおのうず""","""れんごく""","""フレアドライブ""","""とっしん""","""こわいかお""","""まもる""","""ほのおのキバ""","""アクロバット""","""ほのおのうず""","""からげんき""","""つばめがえし""","""じならし""","""スピードスター""","""がんせきふうじ""","""ニトロチャージ""","""エアカッター""","""なげつける""","""ドラゴンテール""","""こらえる""","""にほんばれ""","""すなあらし""","""あなをほる""","""かわらわり""","""シャドークロー""","""エアスラッシュ""","""のしかかり""","""ほのおのパンチ""","""かみなりパンチ""","""ねごと""","""ドラゴンクロー""","""ねむる""","""いわなだれ""","""つるぎのまい""","""そらをとぶ""","""りゅうのまい""","""みがわり""","""おにび""","""かみくだく""","""りゅうのはどう""","""ねっぷう""","""かえんほうしゃ""","""てだすけ""","""だいもんじ""","""ほのおのちかい""","""じしん""","""ギガインパクト""","""ブラストバーン""","""げきりん""","""オーバーヒート""","""きあいだま""","""ぼうふう""","""はかいこうせん""","""フレアドライブ""","""ソーラービーム""","""テラバースト""","""かみつく""","""カウンター""","""はらだいこ""","""アイアンテール""","""メタルクロー""","""げんしのちから""","""ドラゴンダイブ""","""ドラゴンテール""","""にらみつける""","""りゅうのいかり""","""いかり""","""みだれひっかき""","""はじけるほのお""","""つばさでうつ""","""メガトンパンチ""","""いあいぎり""","""メガトンキック""","""ずつき""","""すてみタックル""","""じごくぐるま""","""ちきゅうなげ""","""かいりき""","""どくどく""","""ものまね""","""かげぶんしん""","""まるくなる""","""リフレクター""","""がまん""","""ロケットずつき""","""いびき""","""のろい""","""どろかけ""","""いばる""","""れんぞくぎり""","""メロメロ""","""おんがえし""","""やつあたり""","""ばくれつパンチ""","""めざめるパワー""","""いわくだき""","""ふくろだたき""","""きあいパンチ""","""ひみつのちから""","""ウェザーボール""","""しぜんのめぐみ""","""ゆうわく""","""つめとぎ""","""りんしょう""","""エコーボイス""","""やきつくす""","""ふるいたてる""","""グロウパンチ""","""ないしょばなし""","""ほえる""","""じわれ""","""はがねのつばさ""","""ブレイズキック""","""はねやすめ""","""フリーフォール""","""ヒートスタンプ""","""マジカルフレイム""","""ぶんまわす""","""ワイドブレイカー""","""たつまき""","""おいかぜ""","""きりばらい""","""あやしいかぜ""","""スケイルショット""","""ダブルウイング""","""ねっさのだいち""","""ちきゅうなげ""","""てをつなぐ""","""みねうち""","""とおせんぼう""","""ブラストバーン""","""アクロバット""","""でんこうせっか""","""とおぼえ""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""たいあたり""","""しっぽをふる""","""みずでっぽう""","""からにこもる""","""こうそくスピン""","""かみつく""","""みずのはどう""","""まもる""","""あまごい""","""アクアテール""","""からをやぶる""","""てっぺき""","""ハイドロポンプ""","""ロケットずつき""","""メガトンパンチ""","""メガトンキック""","""れいとうパンチ""","""あなをほる""","""ねむる""","""いびき""","""まもる""","""こごえるかぜ""","""メロメロ""","""あまごい""","""あられ""","""うずしお""","""からげんき""","""てだすけ""","""かわらわり""","""ダイビング""","""ウェザーボール""","""がんせきふうじ""","""しおみず""","""なげつける""","""りんしょう""","""みねうち""","""のしかかり""","""ハイドロポンプ""","""なみのり""","""れいとうビーム""","""ふぶき""","""たきのぼり""","""みがわり""","""こらえる""","""ねごと""","""アイアンテール""","""だくりゅう""","""てっぺき""","""ジャイロボール""","""はどうだん""","""りゅうのはどう""","""しねんのずつき""","""ねっとう""","""ふるいたてる""","""しろいきり""","""くろいきり""","""じたばた""","""ミラーコート""","""ねこだまし""","""あくび""","""しおふき""","""アクアリング""","""アクアジェット""","""いのちのしずく""","""クイックターン""","""みずのちかい""","""ずつき""","""バブルこうせん""","""あわ""","""とっしん""","""すてみタックル""","""じごくぐるま""","""カウンター""","""ちきゅうなげ""","""かいりき""","""どくどく""","""いかり""","""ものまね""","""かげぶんしん""","""まるくなる""","""リフレクター""","""がまん""","""いわなだれ""","""のろい""","""どろかけ""","""げきりん""","""ころがる""","""いばる""","""おんがえし""","""やつあたり""","""ばくれつパンチ""","""めざめるパワー""","""いわくだき""","""きあいパンチ""","""ひみつのちから""","""しぜんのめぐみ""","""ゆうわく""","""グロウパンチ""","""ないしょばなし""","""ねんりき""","""みやぶる""","""リフレッシュ""","""どろあそび""","""みねうち""","""とおせんぼう""","""ハイドロカノン""","""このゆびとまれ""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""たいあたり""","""しっぽをふる""","""みずでっぽう""","""からにこもる""","""こうそくスピン""","""かみつく""","""みずのはどう""","""まもる""","""あまごい""","""アクアテール""","""からをやぶる""","""てっぺき""","""ハイドロポンプ""","""ロケットずつき""","""メガトンパンチ""","""メガトンキック""","""れいとうパンチ""","""あなをほる""","""ねむる""","""いびき""","""まもる""","""こごえるかぜ""","""メロメロ""","""あまごい""","""あられ""","""うずしお""","""からげんき""","""てだすけ""","""かわらわり""","""ダイビング""","""ウェザーボール""","""がんせきふうじ""","""しおみず""","""なげつける""","""りんしょう""","""みねうち""","""のしかかり""","""ハイドロポンプ""","""なみのり""","""れいとうビーム""","""ふぶき""","""たきのぼり""","""みがわり""","""こらえる""","""ねごと""","""アイアンテール""","""だくりゅう""","""てっぺき""","""ジャイロボール""","""はどうだん""","""りゅうのはどう""","""しねんのずつき""","""ねっとう""","""ふるいたてる""","""しろいきり""","""くろいきり""","""じたばた""","""ミラーコート""","""ねこだまし""","""あくび""","""しおふき""","""アクアリング""","""アクアジェット""","""いのちのしずく""","""クイックターン""","""みずのちかい""","""ずつき""","""バブルこうせん""","""あわ""","""とっしん""","""すてみタックル""","""じごくぐるま""","""カウンター""","""ちきゅうなげ""","""かいりき""","""どくどく""","""いかり""","""ものまね""","""かげぶんしん""","""まるくなる""","""リフレクター""","""がまん""","""いわなだれ""","""のろい""","""どろかけ""","""げきりん""","""ころがる""","""いばる""","""おんがえし""","""やつあたり""","""ばくれつパンチ""","""めざめるパワー""","""いわくだき""","""きあいパンチ""","""ひみつのちから""","""しぜんのめぐみ""","""ゆうわく""","""グロウパンチ""","""ないしょばなし""","""ねんりき""","""みやぶる""","""リフレッシュ""","""どろあそび""","""みねうち""","""とおせんぼう""","""ハイドロカノン""","""このゆびとまれ""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""ラスターカノン""","""ラスターカノン""","""たいあたり""","""しっぽをふる""","""みずでっぽう""","""からにこもる""","""こうそくスピン""","""かみつく""","""みずのはどう""","""まもる""","""あまごい""","""アクアテール""","""からをやぶる""","""てっぺき""","""ハイドロポンプ""","""ロケットずつき""","""メガトンパンチ""","""メガトンキック""","""れいとうパンチ""","""はかいこうせん""","""ギガインパクト""","""あなをほる""","""ねむる""","""いわなだれ""","""いびき""","""まもる""","""こごえるかぜ""","""メロメロ""","""あまごい""","""あられ""","""うずしお""","""からげんき""","""てだすけ""","""かわらわり""","""ダイビング""","""ウェザーボール""","""がんせきふうじ""","""しおみず""","""なげつける""","""ゆきなだれ""","""りんしょう""","""じならし""","""みねうち""","""のしかかり""","""ハイドロポンプ""","""なみのり""","""れいとうビーム""","""ふぶき""","""じしん""","""たきのぼり""","""みがわり""","""げきりん""","""こらえる""","""ねごと""","""アイアンテール""","""かみくだく""","""だくりゅう""","""てっぺき""","""ジャイロボール""","""はどうだん""","""あくのはどう""","""りゅうのはどう""","""きあいだま""","""しねんのずつき""","""ラスターカノン""","""ねっとう""","""ふるいたてる""","""アクアブレイク""","""ボディプレス""","""しろいきり""","""くろいきり""","""じたばた""","""ミラーコート""","""ねこだまし""","""あくび""","""しおふき""","""アクアリング""","""アクアジェット""","""いのちのしずく""","""だいちのはどう""","""クイックターン""","""ハイドロカノン""","""みずのちかい""","""キョダイホウずつき""","""バブルこうせん""","""あわ""","""とっしん""","""すてみタックル""","""じごくぐるま""","""カウンター""","""ちきゅうなげ""","""かいりき""","""どくどく""","""いかり""","""ものまね""","""かげぶんしん""","""まるくなる""","""リフレクター""","""がまん""","""のろい""","""どろかけ""","""ころがる""","""いばる""","""おんがえし""","""やつあたり""","""ばくれつパンチ""","""めざめるパワー""","""いわくだき""","""きあいパンチ""","""ひみつのちから""","""しぜんのめぐみ""","""ゆうわく""","""グロウパンチ""","""ないしょばなし""","""ほえる""","""じわれ""","""ロッククライム""","""うちおとす""","""ドラゴンテール""","""ねんりき""","""みやぶる""","""リフレッシュ""","""どろあそび""","""シグナルビーム""","""みねうち""","""とおせんぼう""","""ハイドロカノン""","""このゆびとまれ""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""たいあたり""","""いとをはく""","""むしくい""","""エレキネット""","""いびき""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
